Year,Sex,Age,Population,Age-Group
1985,Males,18,129700,15-19
1986,Males,18,132824,15-19
1987,Males,18,137906,15-19
1988,Males,18,141153,15-19
1989,Males,18,151034,15-19
1990,Males,18,150469,15-19
1991,Males,18,143609,15-19
1992,Males,18,138897,15-19
1993,Males,18,135208,15-19
1994,Males,18,131255,15-19
1995,Males,18,129771,15-19
1996,Males,18,129848,15-19
1997,Males,18,128391,15-19
1998,Males,18,128600,15-19
1999,Males,18,131211,15-19
2000,Males,18,133657,15-19
2001,Males,18,137502,15-19
2002,Males,18,137493,15-19
2003,Males,18,139969,15-19
2004,Males,18,140456,15-19
2005,Males,18,140193,15-19
2006,Males,18,141023,15-19
2007,Males,18,145871,15-19
2008,Males,18,152369,15-19
2009,Males,18,152447,15-19
2010,Males,18,150568,15-19
2011,Males,18,150442,15-19
2012,Males,18,151992,15-19
2013,Males,18,154967,15-19
2014,Males,18,152993,15-19
2015,Males,18,151892,15-19
2016,Males,18,152710,15-19
2017,Males,18,154758,15-19
2018,Males,18,156833,15-19
2019,Males,18,157420,15-19
2020,Males,18,151354,15-19
2021,Males,18,148368,15-19
1971,Males,19,112114,15-19
1972,Males,19,116131,15-19
1973,Males,19,115826,15-19
1974,Males,19,118762,15-19
1975,Males,19,121916,15-19
1976,Males,19,121222,15-19
1977,Males,19,125685,15-19
1978,Males,19,129797,15-19
1979,Males,19,132485,15-19
1980,Males,19,135887,15-19
1981,Males,19,135833,15-19
1982,Males,19,137165,15-19
1983,Males,19,135254,15-19
1984,Males,19,131584,15-19
1985,Males,19,129692,15-19
1986,Males,19,130346,15-19
1987,Males,19,133744,15-19
1988,Males,19,138543,15-19
1989,Males,19,142911,15-19
1990,Males,19,152521,15-19
1991,Males,19,151574,15-19
1992,Males,19,143963,15-19
1993,Males,19,138981,15-19
1994,Males,19,135859,15-19
1995,Males,19,132388,15-19
1996,Males,19,131338,15-19
1997,Males,19,129660,15-19
1998,Males,19,128278,15-19
1999,Males,19,129257,15-19
2000,Males,19,132779,15-19
2001,Males,19,136122,15-19
2002,Males,19,139356,15-19
2003,Males,19,139621,15-19
2004,Males,19,141721,15-19
2005,Males,19,142701,15-19
2006,Males,19,142786,15-19
2007,Males,19,146238,15-19
2008,Males,19,152297,15-19
2009,Males,19,159171,15-19
2010,Males,19,156457,15-19
2011,Males,19,153257,15-19
2012,Males,19,154379,15-19
2013,Males,19,157059,15-19
2014,Males,19,161574,15-19
2015,Males,19,159405,15-19
2016,Males,19,158755,15-19
2017,Males,19,160658,15-19
2018,Males,19,163851,15-19
2019,Males,19,166813,15-19
2020,Males,19,162541,15-19
2021,Males,19,150572,15-19
1971,Males,20,113285,15-19
1972,Males,20,114016,15-19
1973,Males,20,117474,15-19
1974,Males,20,116797,15-19
1975,Males,20,119156,15-19
1976,Males,20,121847,15-19
1977,Males,20,122703,15-19
1978,Males,20,126798,15-19
1979,Males,20,130443,15-19
1980,Males,20,133031,15-19
1981,Males,20,136447,15-19
1982,Males,20,137600,15-19
1983,Males,20,137822,15-19
1984,Males,20,135634,15-19
1985,Males,20,132184,15-19
1986,Males,20,130460,15-19
1987,Males,20,131312,15-19
1988,Males,20,134651,15-19
1989,Males,20,139359,15-19
1990,Males,20,144162,15-19
1991,Males,20,153276,15-19
1992,Males,20,151513,15-19
1993,Males,20,143901,15-19
1994,Males,20,139192,15-19
1995,Males,20,136750,15-19
1996,Males,20,133641,15-19
1997,Males,20,131004,15-19
1998,Males,20,129309,15-19
1999,Males,20,128421,15-19
2000,Males,20,130372,15-19
2001,Males,20,134913,15-19
2002,Males,20,137639,15-19
2003,Males,20,141332,15-19
2004,Males,20,141446,15-19
2005,Males,20,144185,15-19
2006,Males,20,145707,15-19
2007,Males,20,147703,15-19
2008,Males,20,152510,15-19
2009,Males,20,159410,15-19
2010,Males,20,163224,15-19
2011,Males,20,159078,15-19
2012,Males,20,157511,15-19
2013,Males,20,158860,15-19
2014,Males,20,163016,15-19
2015,Males,20,167109,15-19
2016,Males,20,164986,15-19
2017,Males,20,164883,15-19
2018,Males,20,166890,15-19
2019,Males,20,170022,15-19
2020,Males,20,168695,15-19
2021,Males,20,160137,15-19
1971,Males,21,114186,20-24
1972,Males,21,114775,20-24
1973,Males,21,115478,20-24
1974,Males,21,118841,20-24
1975,Males,21,116171,20-24
1976,Males,21,118997,20-24
1977,Males,21,122858,20-24
1978,Males,21,123661,20-24
1979,Males,21,127909,20-24
1980,Males,21,130645,20-24
1981,Males,21,133949,20-24
1982,Males,21,138186,20-24
1983,Males,21,138208,20-24
1984,Males,21,137888,20-24
1985,Males,21,136062,20-24
1986,Males,21,132623,20-24
1987,Males,21,131499,20-24
1988,Males,21,132431,20-24
1989,Males,21,135618,20-24
1990,Males,21,139630,20-24
1991,Males,21,144650,20-24
1992,Males,21,153128,20-24
1993,Males,21,150892,20-24
1994,Males,21,143695,20-24
1995,Males,21,139388,20-24
1996,Males,21,137719,20-24
1997,Males,21,132971,20-24
1998,Males,21,130378,20-24
1999,Males,21,129073,20-24
2000,Males,21,128563,20-24
2001,Males,21,131641,20-24
2002,Males,21,136588,20-24
2003,Males,21,139513,20-24
2004,Males,21,143203,20-24
2005,Males,21,143860,20-24
2006,Males,21,147325,20-24
2007,Males,21,150617,20-24
2008,Males,21,154005,20-24
2009,Males,21,159611,20-24
2010,Males,21,163174,20-24
2011,Males,21,165562,20-24
2012,Males,21,163335,20-24
2013,Males,21,162086,20-24
2014,Males,21,163898,20-24
2015,Males,21,167716,20-24
2016,Males,21,171579,20-24
2017,Males,21,169458,20-24
2018,Males,21,169459,20-24
2019,Males,21,171634,20-24
2020,Males,21,169937,20-24
2021,Males,21,165679,20-24
1971,Males,22,111514,20-24
1972,Males,22,115455,20-24
1973,Males,22,115775,20-24
1974,Males,22,117106,20-24
1975,Males,22,118684,20-24
1976,Males,22,115520,20-24
1977,Males,22,119838,20-24
1978,Males,22,123774,20-24
1979,Males,22,124615,20-24
1980,Males,22,128728,20-24
1981,Males,22,131430,20-24
1982,Males,22,135237,20-24
1983,Males,22,138979,20-24
1984,Males,22,138626,20-24
1985,Males,22,138550,20-24
1986,Males,22,137023,20-24
1987,Males,22,133327,20-24
1988,Males,22,132616,20-24
1989,Males,22,133364,20-24
1990,Males,22,136182,20-24
1991,Males,22,139358,20-24
1992,Males,22,144117,20-24
1993,Males,22,152586,20-24
1994,Males,22,150221,20-24
1995,Males,22,143852,20-24
1996,Males,22,139712,20-24
1997,Males,22,136774,20-24
1998,Males,22,132343,20-24
1999,Males,22,130032,20-24
2000,Males,22,128949,20-24
2001,Males,22,129055,20-24
2002,Males,22,132913,20-24
2003,Males,22,138366,20-24
2004,Males,22,141573,20-24
2005,Males,22,145455,20-24
2006,Males,22,147279,20-24
2007,Males,22,152442,20-24
2008,Males,22,157095,20-24
2009,Males,22,161759,20-24
2010,Males,22,163172,20-24
2011,Males,22,165309,20-24
2012,Males,22,170006,20-24
2013,Males,22,168599,20-24
2014,Males,22,167366,20-24
2015,Males,22,168988,20-24
2016,Males,22,172952,20-24
2017,Males,22,177373,20-24
2018,Males,22,175821,20-24
2019,Males,22,176506,20-24
2020,Males,22,173443,20-24
2021,Males,22,166685,20-24
1971,Males,23,116504,20-24
1972,Males,23,113052,20-24
1973,Males,23,116168,20-24
1974,Males,23,117069,20-24
1975,Males,23,117436,20-24
1976,Males,23,118657,20-24
1977,Males,23,116729,20-24
1978,Males,23,120612,20-24
1979,Males,23,124760,20-24
1980,Males,23,125753,20-24
1981,Males,23,130469,20-24
1982,Males,23,133101,20-24
1983,Males,23,135428,20-24
1984,Males,23,139284,20-24
1985,Males,23,139538,20-24
1986,Males,23,139442,20-24
1987,Males,23,138140,20-24
1988,Males,23,134130,20-24
1989,Males,23,133829,20-24
1990,Males,23,133961,20-24
1991,Males,23,135961,20-24
1992,Males,23,139214,20-24
1993,Males,23,143217,20-24
1994,Males,23,152074,20-24
1995,Males,23,149888,20-24
1996,Males,23,144142,20-24
1997,Males,23,139562,20-24
1998,Males,23,135735,20-24
1999,Males,23,132047,20-24
2000,Males,23,129978,20-24
2001,Males,23,129305,20-24
2002,Males,23,130602,20-24
2003,Males,23,134838,20-24
2004,Males,23,140593,20-24
2005,Males,23,144147,20-24
2006,Males,23,149015,20-24
2007,Males,23,152842,20-24
2008,Males,23,159714,20-24
2009,Males,23,165753,20-24
2010,Males,23,165837,20-24
2011,Males,23,165991,20-24
2012,Males,23,169943,20-24
2013,Males,23,175687,20-24
2014,Males,23,174303,20-24
2015,Males,23,173708,20-24
2016,Males,23,176276,20-24
2017,Males,23,181444,20-24
2018,Males,23,186135,20-24
2019,Males,23,184992,20-24
2020,Males,23,179814,20-24
2021,Males,23,169585,20-24
1971,Males,24,126058,20-24
1972,Males,24,117510,20-24
1973,Males,24,114013,20-24
1974,Males,24,117132,20-24
1975,Males,24,116976,20-24
1976,Males,24,117763,20-24
1977,Males,24,119461,20-24
1978,Males,24,118027,20-24
1979,Males,24,121565,20-24
1980,Males,24,125887,20-24
1981,Males,24,127544,20-24
1982,Males,24,131837,20-24
1983,Males,24,133644,20-24
1984,Males,24,135399,20-24
1985,Males,24,140215,20-24
1986,Males,24,140874,20-24
1987,Males,24,140174,20-24
1988,Males,24,139305,20-24
1989,Males,24,135039,20-24
1990,Males,24,134588,20-24
1991,Males,24,133879,20-24
1992,Males,24,135874,20-24
1993,Males,24,138976,20-24
1994,Males,24,142648,20-24
1995,Males,24,151859,20-24
1996,Males,24,149576,20-24
1997,Males,24,143719,20-24
1998,Males,24,139016,20-24
1999,Males,24,135062,20-24
2000,Males,24,131673,20-24
2001,Males,24,129630,20-24
2002,Males,24,131049,20-24
2003,Males,24,132701,20-24
2004,Males,24,136676,20-24
2005,Males,24,142207,20-24
2006,Males,24,147092,20-24
2007,Males,24,154022,20-24
2008,Males,24,159613,20-24
2009,Males,24,167089,20-24
2010,Males,24,168661,20-24
2011,Males,24,167530,20-24
2012,Males,24,170356,20-24
2013,Males,24,174278,20-24
2014,Males,24,179600,20-24
2015,Males,24,178853,20-24
2016,Males,24,179181,20-24
2017,Males,24,182579,20-24
2018,Males,24,187759,20-24
2019,Males,24,191919,20-24
2020,Males,24,186134,20-24
2021,Males,24,175024,20-24
1971,Males,25,106957,20-24
1972,Males,25,126923,20-24
1973,Males,25,118001,20-24
1974,Males,25,115180,20-24
1975,Males,25,117010,20-24
1976,Males,25,116885,20-24
1977,Males,25,118404,20-24
1978,Males,25,120290,20-24
1979,Males,25,119372,20-24
1980,Males,25,122475,20-24
1981,Males,25,127727,20-24
1982,Males,25,128865,20-24
1983,Males,25,132083,20-24
1984,Males,25,134018,20-24
1985,Males,25,135952,20-24
1986,Males,25,141572,20-24
1987,Males,25,141636,20-24
1988,Males,25,141117,20-24
1989,Males,25,140818,20-24
1990,Males,25,135668,20-24
1991,Males,25,134802,20-24
1992,Males,25,133815,20-24
1993,Males,25,135576,20-24
1994,Males,25,139231,20-24
1995,Males,25,142401,20-24
1996,Males,25,151767,20-24
1997,Males,25,149125,20-24
1998,Males,25,142960,20-24
1999,Males,25,138802,20-24
2000,Males,25,134375,20-24
2001,Males,25,131297,20-24
2002,Males,25,130906,20-24
2003,Males,25,132573,20-24
2004,Males,25,134251,20-24
2005,Males,25,138085,20-24
2006,Males,25,144646,20-24
2007,Males,25,150840,20-24
2008,Males,25,159682,20-24
2009,Males,25,165916,20-24
2010,Males,25,169015,20-24
2011,Males,25,169468,20-24
2012,Males,25,170843,20-24
2013,Males,25,174145,20-24
2014,Males,25,176437,20-24
2015,Males,25,182077,20-24
2016,Males,25,182254,20-24
2017,Males,25,183189,20-24
2018,Males,25,186401,20-24
2019,Males,25,190679,20-24
2020,Males,25,190710,20-24
2021,Males,25,180070,20-24
1971,Males,26,103903,25-29
1972,Males,26,107606,25-29
1973,Males,26,127699,25-29
1974,Males,26,118932,25-29
1975,Males,26,115889,25-29
1976,Males,26,116847,25-29
1977,Males,26,118433,25-29
1978,Males,26,119250,25-29
1979,Males,26,121212,25-29
1980,Males,26,120889,25-29
1981,Males,26,124185,25-29
1982,Males,26,129517,25-29
1983,Males,26,129422,25-29
1984,Males,26,132240,25-29
1985,Males,26,135178,25-29
1986,Males,26,137149,25-29
1987,Males,26,143094,25-29
1988,Males,26,142843,25-29
1989,Males,26,142301,25-29
1990,Males,26,142069,25-29
1991,Males,26,135732,25-29
1992,Males,26,134796,25-29
1993,Males,26,133400,25-29
1994,Males,26,135701,25-29
1995,Males,26,139863,25-29
1996,Males,26,142330,25-29
1997,Males,26,152027,25-29
1998,Males,26,148335,25-29
1999,Males,26,142600,25-29
2000,Males,26,138526,25-29
2001,Males,26,133566,25-29
2002,Males,26,132750,25-29
2003,Males,26,132120,25-29
2004,Males,26,133721,25-29
2005,Males,26,135677,25-29
2006,Males,26,140210,25-29
2007,Males,26,148018,25-29
2008,Males,26,155510,25-29
2009,Males,26,165462,25-29
2010,Males,26,167310,25-29
2011,Males,26,169736,25-29
2012,Males,26,172715,25-29
2013,Males,26,173939,25-29
2014,Males,26,176068,25-29
2015,Males,26,178686,25-29
2016,Males,26,184570,25-29
2017,Males,26,185801,25-29
2018,Males,26,186134,25-29
2019,Males,26,188818,25-29
2020,Males,26,189440,25-29
2021,Males,26,184726,25-29
1971,Males,27,100326,25-29
1972,Males,27,104177,25-29
1973,Males,27,108179,25-29
1974,Males,27,128940,25-29
1975,Males,27,119488,25-29
1976,Males,27,116254,25-29
1977,Males,27,117887,25-29
1978,Males,27,120118,25-29
1979,Males,27,119966,25-29
1980,Males,27,122382,25-29
1981,Males,27,123235,25-29
1982,Males,27,125029,25-29
1983,Males,27,130348,25-29
1984,Males,27,129752,25-29
1985,Males,27,132992,25-29
1986,Males,27,136711,25-29
1987,Males,27,138670,25-29
1988,Males,27,145134,25-29
1989,Males,27,144150,25-29
1990,Males,27,143390,25-29
1991,Males,27,142552,25-29
1992,Males,27,136193,25-29
1993,Males,27,134636,25-29
1994,Males,27,133434,25-29
1995,Males,27,136210,25-29
1996,Males,27,140535,25-29
1997,Males,27,142317,25-29
1998,Males,27,151728,25-29
1999,Males,27,147982,25-29
2000,Males,27,142250,25-29
2001,Males,27,138501,25-29
2002,Males,27,135000,25-29
2003,Males,27,134104,25-29
2004,Males,27,133405,25-29
2005,Males,27,134873,25-29
2006,Males,27,137691,25-29
2007,Males,27,143319,25-29
2008,Males,27,152341,25-29
2009,Males,27,160731,25-29
2010,Males,27,167449,25-29
2011,Males,27,168334,25-29
2012,Males,27,172646,25-29
2013,Males,27,176038,25-29
2014,Males,27,175396,25-29
2015,Males,27,178156,25-29
2016,Males,27,181067,25-29
2017,Males,27,187581,25-29
2018,Males,27,188647,25-29
2019,Males,27,188382,25-29
2020,Males,27,188481,25-29
2021,Males,27,184326,25-29
1971,Males,28,93146,25-29
1972,Males,28,100861,25-29
1973,Males,28,104198,25-29
1974,Males,28,109298,25-29
1975,Males,28,129689,25-29
1976,Males,28,119542,25-29
1977,Males,28,117083,25-29
1978,Males,28,118855,25-29
1979,Males,28,121738,25-29
1980,Males,28,121216,25-29
1981,Males,28,124215,25-29
1982,Males,28,124350,25-29
1983,Males,28,124918,25-29
1984,Males,28,131092,25-29
1985,Males,28,130702,25-29
1986,Males,28,134266,25-29
1987,Males,28,137364,25-29
1988,Males,28,140958,25-29
1989,Males,28,147316,25-29
1990,Males,28,145269,25-29
1991,Males,28,143811,25-29
1992,Males,28,143234,25-29
1993,Males,28,136495,25-29
1994,Males,28,135071,25-29
1995,Males,28,134056,25-29
1996,Males,28,136904,25-29
1997,Males,28,140893,25-29
1998,Males,28,142501,25-29
1999,Males,28,152132,25-29
2000,Males,28,148110,25-29
2001,Males,28,142262,25-29
2002,Males,28,139553,25-29
2003,Males,28,136493,25-29
2004,Males,28,135544,25-29
2005,Males,28,134909,25-29
2006,Males,28,136648,25-29
2007,Males,28,140858,25-29
2008,Males,28,147329,25-29
2009,Males,28,157253,25-29
2010,Males,28,162884,25-29
2011,Males,28,168837,25-29
2012,Males,28,171586,25-29
2013,Males,28,175621,25-29
2014,Males,28,177780,25-29
2015,Males,28,177170,25-29
2016,Males,28,180722,25-29
2017,Males,28,183948,25-29
2018,Males,28,189945,25-29
2019,Males,28,191184,25-29
2020,Males,28,188566,25-29
2021,Males,28,184378,25-29
1971,Males,29,93202,25-29
1972,Males,29,93779,25-29
1973,Males,29,101185,25-29
1974,Males,29,104731,25-29
1975,Males,29,109707,25-29
1976,Males,29,130022,25-29
1977,Males,29,120156,25-29
1978,Males,29,117895,25-29
1979,Males,29,119547,25-29
1980,Males,29,123591,25-29
1981,Males,29,123048,25-29
1982,Males,29,125425,25-29
1983,Males,29,124659,25-29
1984,Males,29,124590,25-29
1985,Males,29,132235,25-29
1986,Males,29,132059,25-29
1987,Males,29,135229,25-29
1988,Males,29,138437,25-29
1989,Males,29,143156,25-29
1990,Males,29,149434,25-29
1991,Males,29,145831,25-29
1992,Males,29,144760,25-29
1993,Males,29,143359,25-29
1994,Males,29,137021,25-29
1995,Males,29,135862,25-29
1996,Males,29,134793,25-29
1997,Males,29,137319,25-29
1998,Males,29,141233,25-29
1999,Males,29,143312,25-29
2000,Males,29,153078,25-29
2001,Males,29,148672,25-29
2002,Males,29,143880,25-29
2003,Males,29,140998,25-29
2004,Males,29,138168,25-29
2005,Males,29,137143,25-29
2006,Males,29,137016,25-29
2007,Males,29,139491,25-29
2008,Males,29,144785,25-29
2009,Males,29,151952,25-29
2010,Males,29,159711,25-29
2011,Males,29,164709,25-29
2012,Males,29,172222,25-29
2013,Males,29,174971,25-29
2014,Males,29,176939,25-29
2015,Males,29,179577,25-29
2016,Males,29,179122,25-29
2017,Males,29,183354,25-29
2018,Males,29,186389,25-29
2019,Males,29,192257,25-29
2020,Males,29,192062,25-29
2021,Males,29,184913,25-29
1971,Males,30,91010,25-29
1972,Males,30,93421,25-29
1973,Males,30,94134,25-29
1974,Males,30,101891,25-29
1975,Males,30,104577,25-29
1976,Males,30,109771,25-29
1977,Males,30,129825,25-29
1978,Males,30,120769,25-29
1979,Males,30,118322,25-29
1980,Males,30,120706,25-29
1981,Males,30,126094,25-29
1982,Males,30,124119,25-29
1983,Males,30,125864,25-29
1984,Males,30,124436,25-29
1985,Males,30,124728,25-29
1986,Males,30,133760,25-29
1987,Males,30,133063,25-29
1988,Males,30,136609,25-29
1989,Males,30,139600,25-29
1990,Males,30,145030,25-29
1991,Males,30,150817,25-29
1992,Males,30,146679,25-29
1993,Males,30,145116,25-29
1994,Males,30,143909,25-29
1995,Males,30,138153,25-29
1996,Males,30,136738,25-29
1997,Males,30,135426,25-29
1998,Males,30,137796,25-29
1999,Males,30,142097,25-29
2000,Males,30,144276,25-29
2001,Males,30,154068,25-29
2002,Males,30,150481,25-29
2003,Males,30,145711,25-29
2004,Males,30,142514,25-29
2005,Males,30,139946,25-29
2006,Males,30,139358,25-29
2007,Males,30,140022,25-29
2008,Males,30,143015,25-29
2009,Males,30,149097,25-29
2010,Males,30,154197,25-29
2011,Males,30,161964,25-29
2012,Males,30,168088,25-29
2013,Males,30,175423,25-29
2014,Males,30,176589,25-29
2015,Males,30,178330,25-29
2016,Males,30,181456,25-29
2017,Males,30,182110,25-29
2018,Males,30,185423,25-29
2019,Males,30,188669,25-29
2020,Males,30,192975,25-29
2021,Males,30,189301,25-29
1971,Males,31,86497,30-34
1972,Males,31,91455,30-34
1973,Males,31,93354,30-34
1974,Males,31,94753,30-34
1975,Males,31,102023,30-34
1976,Males,31,103957,30-34
1977,Males,31,109495,30-34
1978,Males,31,129648,30-34
1979,Males,31,121245,30-34
1980,Males,31,119191,30-34
1981,Males,31,122512,30-34
1982,Males,31,127200,30-34
1983,Males,31,124277,30-34
1984,Males,31,125932,30-34
1985,Males,31,124659,30-34
1986,Males,31,125206,30-34
1987,Males,31,134664,30-34
1988,Males,31,134401,30-34
1989,Males,31,137969,30-34
1990,Males,31,140168,30-34
1991,Males,31,146198,30-34
1992,Males,31,151132,30-34
1993,Males,31,146764,30-34
1994,Males,31,145848,30-34
1995,Males,31,144900,30-34
1996,Males,31,139233,30-34
1997,Males,31,137412,30-34
1998,Males,31,136135,30-34
1999,Males,31,138489,30-34
2000,Males,31,142972,30-34
2001,Males,31,145311,30-34
2002,Males,31,155230,30-34
2003,Males,31,151911,30-34
2004,Males,31,147038,30-34
2005,Males,31,144057,30-34
2006,Males,31,142002,30-34
2007,Males,31,141951,30-34
2008,Males,31,143120,30-34
2009,Males,31,146381,30-34
2010,Males,31,151150,30-34
2011,Males,31,155898,30-34
2012,Males,31,164808,30-34
2013,Males,31,170556,30-34
2014,Males,31,176361,30-34
2015,Males,31,177699,30-34
2016,Males,31,179401,30-34
2017,Males,31,183856,30-34
2018,Males,31,184269,30-34
2019,Males,31,187012,30-34
2020,Males,31,189691,30-34
2021,Males,31,190394,30-34
1971,Males,32,85309,30-34
1972,Males,32,87196,30-34
1973,Males,32,91493,30-34
1974,Males,32,93587,30-34
1975,Males,32,94892,30-34
1976,Males,32,101708,30-34
1977,Males,32,104380,30-34
1978,Males,32,109268,30-34
1979,Males,32,129364,30-34
1980,Males,32,121900,30-34
1981,Males,32,120648,30-34
1982,Males,32,124122,30-34
1983,Males,32,127498,30-34
1984,Males,32,124096,30-34
1985,Males,32,126296,30-34
1986,Males,32,125106,30-34
1987,Males,32,126753,30-34
1988,Males,32,135858,30-34
1989,Males,32,135743,30-34
1990,Males,32,139066,30-34
1991,Males,32,140113,30-34
1992,Males,32,146493,30-34
1993,Males,32,150612,30-34
1994,Males,32,146910,30-34
1995,Males,32,146760,30-34
1996,Males,32,145599,30-34
1997,Males,32,140037,30-34
1998,Males,32,137896,30-34
1999,Males,32,136986,30-34
2000,Males,32,139316,30-34
2001,Males,32,143925,30-34
2002,Males,32,146788,30-34
2003,Males,32,156072,30-34
2004,Males,32,153403,30-34
2005,Males,32,148477,30-34
2006,Males,32,145797,30-34
2007,Males,32,144250,30-34
2008,Males,32,144690,30-34
2009,Males,32,146321,30-34
2010,Males,32,148036,30-34
2011,Males,32,152785,30-34
2012,Males,32,158485,30-34
2013,Males,32,166965,30-34
2014,Males,32,171454,30-34
2015,Males,32,177051,30-34
2016,Males,32,179004,30-34
2017,Males,32,181758,30-34
2018,Males,32,185592,30-34
2019,Males,32,186287,30-34
2020,Males,32,187836,30-34
2021,Males,32,187871,30-34
1971,Males,33,82114,30-34
1972,Males,33,85475,30-34
